source,target
Battery,
Type:,
APN:,
Cellular Networks,
Modems,
SIM Cards,
Networks,
Modem,
Modem 1,
Modem %1,
Name:,
IMEI:,
Manufacturer:,
Model:,
Revision:,
Network,
Network %1,
Operator:,
Mode:,
Cell Id:,
MCC:,
MNC:,
Technology:,
Strength:,
Base Station:,
SIM Card,
SIM Card 1,
SIM Card %1,
IMSI:,
ICCID:,
Display,
Display & Brightness,
Brightness,
Sleep,
Applications scale,
%1 %,
Set scale ,
"Attention, the running apps will be closed to fit new configuration.",
2 Minutes,
5 Minutes,
10 Minutes,
15 Minutes,
Never,
Info,
About,
Model Name,
Software Version,
Processor,
RAM,
%1 of RAM,
Unknown,
Internal Storage,
Kernel Version,
Serial Number,
Factory Reset,
System & Update,
System Update,
Legal information,
Every day,
Every two days,
Weekly,
Every two weeks,
Legal Information,
"Legal Notices:
Copyright @ 2020 Jingling Inc. All rights reserved. 
Jingling, the Jingling logo, Jing Pad, other cache objects have configurable update settings, and their update frequency is set by the Document Manager administrator. The objects with configurable update settings are controlled vocabulary lists ( CVLs), library property definitions, library property values lists, native folder lists, and user and group lists.If you issue a ROLLBACK after invoking these procedures, policy settings will not be updated. ",
Downloading...,
Sever replied: Not Found ,
Request Timeout ,
Discover system updatable version %1,
"Your software is already the latest version
 %1",
Checking for updates...,
Update now,
Update suggestion,
It is recommended that the battery reaches 50% or connect to the power supply to update,
OK,
Cancel,
Unable to check for updates,
"Please connect to the network and 
 try again",
Update Settings,
Automatically check for updates ,
Location,
Lockscreen PIN,
Screen Brightness,
0%,
100%,
Lock screen and Sleep,
%1 minute,
%1 minutes,
Turn off the screen,
Battery %1,
%1 (%2),
Port:,
Increase Volume,
Decrease Volume,
Mute,
Sound,
Storage,
used: %1 / %2 ,
Font,
Theme,
Appearance,
Jan,
Feb,
Mar,
Apr,
May,
Jun,
Jul,
Aug,
Sep,
Oct,
Nov,
Dec,
Date & Time,
24-Hour Time,
Set Automatically,
Time Zone,
Date and Time,
Unable to change NTP settings,
Unable to set current time,
Unable to set timezone,
Local,
Your system time zone,
Abidjan,
Accra,
Adak,
Addis Ababa,
Adelaide,
Aden,
Algiers,
Almaty,
Amman,
Amsterdam,
Anadyr,
Anchorage,
Andorra,
Anguilla,
Antananarivo,
Antigua,
Apia,
Aqtau,
Aqtobe,
Araguaina,
Aruba,
Ashgabat,
Asmara,
Asuncion,
Athens,
Atikokan,
Auckland,
Azores,
Baghdad,
Bahia Banderas,
Bahia,
Bahrain,
Baku,
